Year,Year ending,Police Region,Local Government Area,Offence Count,"Rate per 100,000 population"
2018,December,2 Eastern,South Gippsland,"1,445","4,881.1"
2018,December,2 Eastern,Strathbogie,604,"5,627.0"
2018,December,2 Eastern,Towong,212,"3,475.4"
2018,December,2 Eastern,Wangaratta,"2,388","8,158.8"
2018,December,2 Eastern,Wellington,"4,004","9,052.1"
2018,December,2 Eastern,Whitehorse,"8,193","4,697.0"
2018,December,2 Eastern,Wodonga,"3,207","7,720.1"
2018,December,2 Eastern,Yarra Ranges,"7,658","4,852.4"
2018,December,2 Eastern,Total,"112,657","6,644.9"
2018,December,3 Southern Metro,Bayside,"4,686","4,478.9"
2018,December,3 Southern Metro,Cardinia,"6,048","5,655.2"
2018,December,3 Southern Metro,Casey,"21,021","6,217.6"
2018,December,3 Southern Metro,Frankston,"14,871","10,507.2"
2018,December,3 Southern Metro,Glen Eira,"6,470","4,245.7"
2018,December,3 Southern Metro,Greater Dandenong,"18,291","11,092.5"
2018,December,3 Southern Metro,Kingston,"11,005","6,806.4"
2018,December,3 Southern Metro,Mornington Peninsula,"10,797","6,482.2"
2018,December,3 Southern Metro,Port Phillip,"13,097","11,827.5"
2018,December,3 Southern Metro,Stonnington,"10,782","9,513.0"
2018,December,3 Southern Metro,Total,"117,068","7,500.6"
2018,December,4 Western,Ararat,"1,349","11,427.4"
2018,December,4 Western,Ballarat,"10,865","10,096.8"
2018,December,4 Western,Buloke,236,"3,797.9"
2018,December,4 Western,Campaspe,"3,807","10,032.1"
2018,December,4 Western,Central Goldfields,"1,294","9,707.4"
2018,December,4 Western,Colac-Otway,"1,596","7,313.4"
2018,December,4 Western,Corangamite,715,"4,405.2"
2018,December,4 Western,Gannawarra,750,"7,074.8"
2018,December,4 Western,Glenelg,"1,343","6,751.1"
2018,December,4 Western,Golden Plains,684,"2,949.4"
2018,December,4 Western,Greater Bendigo,"10,549","9,079.4"
2018,December,4 Western,Greater Geelong,"20,766","8,202.2"
2018,December,4 Western,Hepburn,740,"4,653.5"
2018,December,4 Western,Hindmarsh,351,"6,167.6"
2018,December,4 Western,Horsham,"3,021","15,056.8"
2018,December,4 Western,Loddon,490,"6,445.7"
2018,December,4 Western,Macedon Ranges,"2,331","4,728.0"
2018,December,4 Western,Mildura,"7,328","13,049.8"
2018,December,4 Western,Moorabool,"2,440","7,039.4"
2018,December,4 Western,Mount Alexander,879,"4,507.7"
2018,December,4 Western,Moyne,530,"3,136.7"
2018,December,4 Western,Northern Grampians,988,"8,492.4"
2018,December,4 Western,Pyrenees,501,"6,837.7"
2018,December,4 Western,Queenscliffe,303,"10,257.3"
2018,December,4 Western,Southern Grampians,"1,562","9,588.1"
2018,December,4 Western,Surf Coast,"1,185","3,618.3"
2018,December,4 Western,Swan Hill,"2,526","11,892.7"
2018,December,4 Western,Warrnambool,"3,950","11,343.1"
2018,December,4 Western,West Wimmera,166,"4,187.7"
2018,December,4 Western,Yarriambiack,503,"7,509.7"
2018,December,4 Western,Total,"83,748","8,362.6"
2018,December,Justice Institutions and Immigration Facilities,Justice Institutions and Immigration Facilities,"2,833",
2018,December,Justice Institutions and Immigration Facilities,Total,"2,833",
2018,December,Unincorporated Vic,Unincorporated Vic,143,
2018,December,Unincorporated Vic,Total,143,
2017,December,1 North West Metro,Banyule,"9,655","7,504.3"
2017,December,1 North West Metro,Brimbank,"17,143","8,317.2"
2017,December,1 North West Metro,Darebin,"14,791","9,449.6"
2017,December,1 North West Metro,Hobsons Bay,"6,070","6,420.4"
2017,December,1 North West Metro,Hume,"20,216","9,348.5"
2017,December,1 North West Metro,Maribyrnong,"8,022","9,103.5"
2017,December,1 North West Metro,Melbourne,"36,482","23,392.5"
2017,December,1 North West Metro,Melton,"10,631","7,148.8"
2017,December,1 North West Metro,Merri-bek,"12,744","7,277.7"
2017,December,1 North West Metro,Moonee Valley,"8,605","6,921.6"
2017,December,1 North West Metro,Nillumbik,"2,325","3,609.5"
2017,December,1 North West Metro,Whittlesea,"15,580","7,265.9"
2017,December,1 North West Metro,Wyndham,"14,229","5,890.1"
2017,December,1 North West Metro,Yarra,"13,281","14,053.5"
2017,December,1 North West Metro,Total,"189,774","8,997.3"
2017,December,2 Eastern,Alpine,454,"3,578.5"
2017,December,2 Eastern,Bass Coast,"2,574","7,407.6"
2017,December,2 Eastern,Baw Baw,"3,751","7,371.8"
2017,December,2 Eastern,Benalla,"1,294","9,210.6"
2017,December,2 Eastern,Boroondara,"7,313","4,093.5"
2017,December,2 Eastern,East Gippsland,"3,964","8,576.6"
2017,December,2 Eastern,Greater Shepparton,"8,046","12,199.2"
2017,December,2 Eastern,Indigo,491,"2,995.7"
2017,December,2 Eastern,Knox,"11,278","6,982.2"
2017,December,2 Eastern,Latrobe,"13,336","17,760.5"
2017,December,2 Eastern,Manningham,"4,903","3,950.0"
2017,December,2 Eastern,Mansfield,664,"7,463.2"
2017,December,2 Eastern,Maroondah,"8,288","7,131.1"
2017,December,2 Eastern,Mitchell,"4,401","10,224.2"
2017,December,2 Eastern,Moira,"1,924","6,474.4"
2017,December,2 Eastern,Monash,"11,115","5,680.6"
2017,December,2 Eastern,Murrindindi,717,"5,017.5"
2017,December,2 Eastern,South Gippsland,"1,442","4,911.3"
2017,December,2 Eastern,Strathbogie,567,"5,383.6"
2017,December,2 Eastern,Towong,217,"3,578.5"
2017,December,2 Eastern,Wangaratta,"2,346","8,103.3"
2017,December,2 Eastern,Wellington,"3,666","8,356.1"
2017,December,2 Eastern,Whitehorse,"8,300","4,815.1"
2017,December,2 Eastern,Wodonga,"3,296","8,071.1"
2017,December,2 Eastern,Yarra Ranges,"8,209","5,238.8"
2017,December,2 Eastern,Total,"112,556","6,712.4"
2017,December,3 Southern Metro,Bayside,"4,761","4,592.7"
2017,December,3 Southern Metro,Cardinia,"5,816","5,687.6"
2017,December,3 Southern Metro,Casey,"21,223","6,531.2"
2017,December,3 Southern Metro,Frankston,"14,276","10,153.6"
2017,December,3 Southern Metro,Glen Eira,"6,821","4,526.2"
2017,December,3 Southern Metro,Greater Dandenong,"18,093","11,105.2"
2017,December,3 Southern Metro,Kingston,"10,709","6,687.3"
2017,December,3 Southern Metro,Mornington Peninsula,"10,915","6,647.9"
2017,December,3 Southern Metro,Port Phillip,"12,509","11,421.3"
2017,December,3 Southern Metro,Stonnington,"9,880","8,810.9"
2017,December,3 Southern Metro,Total,"115,003","7,511.2"
2017,December,4 Western,Ararat,"1,255","10,639.2"
2017,December,4 Western,Ballarat,"11,583","10,973.8"
2017,December,4 Western,Buloke,199,"3,198.8"
2017,December,4 Western,Campaspe,"3,377","8,934.1"
2017,December,4 Western,Central Goldfields,"1,452","11,000.0"
2017,December,4 Western,Colac-Otway,"1,742","8,066.7"
2017,December,4 Western,Corangamite,"1,027","6,308.7"
2017,December,4 Western,Gannawarra,569,"5,366.9"
2017,December,4 Western,Glenelg,"1,639","8,276.9"
2017,December,4 Western,Golden Plains,688,"3,042.5"
2017,December,4 Western,Greater Bendigo,"9,716","8,503.0"
2017,December,4 Western,Greater Geelong,"22,946","9,313.1"
2017,December,4 Western,Hepburn,886,"5,640.4"
2017,December,4 Western,Hindmarsh,385,"6,721.4"
2017,December,4 Western,Horsham,"2,393","11,978.8"
2017,December,4 Western,Loddon,347,"4,584.5"
2017,December,4 Western,Macedon Ranges,"2,128","4,395.3"
2017,December,4 Western,Mildura,"6,496","11,718.7"
2017,December,4 Western,Moorabool,"2,146","6,370.0"
2017,December,4 Western,Mount Alexander,"1,007","5,218.4"
2017,December,4 Western,Moyne,622,"3,707.0"
2017,December,4 Western,Northern Grampians,"1,054","9,093.3"
2017,December,4 Western,Pyrenees,527,"7,194.5"
2017,December,4 Western,Queenscliffe,133,"4,550.1"
2017,December,4 Western,Southern Grampians,"1,279","7,891.7"
2017,December,4 Western,Surf Coast,"1,166","3,695.1"
2017,December,4 Western,Swan Hill,"2,414","11,457.6"
2017,December,4 Western,Warrnambool,"3,482","10,086.9"
2017,December,4 Western,West Wimmera,188,"4,757.1"
2017,December,4 Western,Yarriambiack,478,"7,125.8"
2017,December,4 Western,Total,"83,324","8,463.1"
2017,December,Justice Institutions and Immigration Facilities,Justice Institutions and Immigration Facilities,"2,539",
2017,December,Justice Institutions and Immigration Facilities,Total,"2,539",
2017,December,Unincorporated Vic,Unincorporated Vic,136,
2017,December,Unincorporated Vic,Total,136,
2016,December,1 North West Metro,Banyule,"10,073","7,903.7"
2016,December,1 North West Metro,Brimbank,"19,143","9,375.1"
2016,December,1 North West Metro,Darebin,"16,853","10,864.1"
2016,December,1 North West Metro,Hobsons Bay,"6,697","7,166.8"
2016,December,1 North West Metro,Hume,"23,644","11,420.0"
2016,December,1 North West Metro,Maribyrnong,"9,139","10,511.6"
2016,December,1 North West Metro,Melbourne,"37,886","25,932.3"
2016,December,1 North West Metro,Melton,"12,053","8,522.8"
2016,December,1 North West Metro,Merri-bek,"14,866","8,628.3"
2016,December,1 North West Metro,Moonee Valley,"9,618","7,827.7"
2016,December,1 North West Metro,Nillumbik,"3,174","4,945.9"
2016,December,1 North West Metro,Whittlesea,"16,666","8,049.0"
2016,December,1 North West Metro,Wyndham,"15,380","6,775.1"
2016,December,1 North West Metro,Yarra,"14,004","15,075.2"
2016,December,1 North West Metro,Total,"209,196","10,214.6"
2016,December,2 Eastern,Alpine,387,"3,076.8"
2016,December,2 Eastern,Bass Coast,"2,948","8,809.5"
2016,December,2 Eastern,Baw Baw,"4,143","8,404.3"
2016,December,2 Eastern,Benalla,"1,604","11,471.9"
2016,December,2 Eastern,Boroondara,"8,397","4,736.7"
2016,December,2 Eastern,East Gippsland,"4,158","9,118.4"
2016,December,2 Eastern,Greater Shepparton,"8,399","12,907.2"
2016,December,2 Eastern,Indigo,396,"2,449.7"
2016,December,2 Eastern,Knox,"12,132","7,565.8"
2016,December,2 Eastern,Latrobe,"14,480","19,404.5"
2016,December,2 Eastern,Manningham,"5,014","4,090.7"
2016,December,2 Eastern,Mansfield,618,"7,124.7"
2016,December,2 Eastern,Maroondah,"9,199","8,013.1"
2016,December,2 Eastern,Mitchell,"4,710","11,269.3"
2016,December,2 Eastern,Moira,"1,944","6,593.0"
2016,December,2 Eastern,Monash,"12,535","6,507.5"
2016,December,2 Eastern,Murrindindi,715,"5,088.2"
2016,December,2 Eastern,South Gippsland,"1,503","5,161.0"
2016,December,2 Eastern,Strathbogie,678,"6,546.3"
2016,December,2 Eastern,Towong,243,"4,019.2"
2016,December,2 Eastern,Wangaratta,"2,594","9,072.5"
2016,December,2 Eastern,Wellington,"4,747","10,905.1"
2016,December,2 Eastern,Whitehorse,"7,988","4,708.8"
2016,December,2 Eastern,Wodonga,"3,310","8,254.4"
2016,December,2 Eastern,Yarra Ranges,"8,917","5,744.5"
2016,December,2 Eastern,Total,"121,759","7,356.9"
2016,December,3 Southern Metro,Bayside,"5,395","5,242.3"
2016,December,3 Southern Metro,Cardinia,"7,229","7,408.8"
2016,December,3 Southern Metro,Casey,"24,076","7,697.2"
2016,December,3 Southern Metro,Frankston,"16,908","12,120.3"
2016,December,3 Southern Metro,Glen Eira,"7,521","5,061.8"
2016,December,3 Southern Metro,Greater Dandenong,"20,635","12,879.0"
2016,December,3 Southern Metro,Kingston,"11,568","7,278.2"
2016,December,3 Southern Metro,Mornington Peninsula,"12,006","7,432.8"
2016,December,3 Southern Metro,Port Phillip,"13,601","12,520.8"
2016,December,3 Southern Metro,Stonnington,"11,590","10,441.2"
2016,December,3 Southern Metro,Total,"130,529","8,692.2"
2016,December,4 Western,Ararat,"1,179","10,038.3"
2016,December,4 Western,Ballarat,"12,089","11,680.2"
2016,December,4 Western,Buloke,230,"3,660.1"
2016,December,4 Western,Campaspe,"3,850","10,240.7"
2016,December,4 Western,Central Goldfields,"1,507","11,515.2"
2016,December,4 Western,Colac-Otway,"1,996","9,343.7"
2016,December,4 Western,Corangamite,959,"5,904.1"
2016,December,4 Western,Gannawarra,612,"5,791.6"
2016,December,4 Western,Glenelg,"1,673","8,467.0"
2016,December,4 Western,Golden Plains,865,"3,929.0"
2016,December,4 Western,Greater Bendigo,"10,853","9,667.1"
2016,December,4 Western,Greater Geelong,"22,962","9,586.3"
2016,December,4 Western,Hepburn,917,"5,906.6"
2016,December,4 Western,Hindmarsh,370,"6,397.0"
2016,December,4 Western,Horsham,"2,824","14,202.4"
2016,December,4 Western,Loddon,478,"6,324.4"
2016,December,4 Western,Macedon Ranges,"2,456","5,172.7"
2016,December,4 Western,Mildura,"6,518","11,925.1"
2016,December,4 Western,Moorabool,"2,534","7,755.9"
2016,December,4 Western,Mount Alexander,"1,254","6,566.5"
2016,December,4 Western,Moyne,646,"3,859.7"
2016,December,4 Western,Northern Grampians,"1,346","11,633.5"
2016,December,4 Western,Pyrenees,561,"7,668.1"
2016,December,4 Western,Queenscliffe,143,"4,882.2"
2016,December,4 Western,Southern Grampians,"1,350","8,373.1"
2016,December,4 Western,Surf Coast,"1,352","4,437.9"
2016,December,4 Western,Swan Hill,"2,224","10,643.2"
2016,December,4 Western,Warrnambool,"3,239","9,459.1"
2016,December,4 Western,West Wimmera,187,"4,749.8"
2016,December,4 Western,Yarriambiack,440,"6,525.3"
2016,December,4 Western,Total,"87,614","9,055.1"
2016,December,Justice Institutions and Immigration Facilities,Justice Institutions and Immigration Facilities,"1,681",
2016,December,Justice Institutions and Immigration Facilities,Total,"1,681",
2016,December,Unincorporated Vic,Unincorporated Vic,137,
2016,December,Unincorporated Vic,Total,137,
2015,December,1 North West Metro,Banyule,"9,226","7,317.1"
2015,December,1 North West Metro,Brimbank,"19,228","9,572.8"
2015,December,1 North West Metro,Darebin,"15,339","10,093.2"
2015,December,1 North West Metro,Hobsons Bay,"6,897","7,523.4"
2015,December,1 North West Metro,Hume,"20,491","10,339.8"
2015,December,1 North West Metro,Maribyrnong,"8,678","10,235.5"
2015,December,1 North West Metro,Melbourne,"34,416","25,144.7"
2015,December,1 North West Metro,Melton,"11,011","8,161.4"
2015,December,1 North West Metro,Merri-bek,"14,039","8,363.0"
2015,December,1 North West Metro,Moonee Valley,"9,621","8,002.1"
2015,December,1 North West Metro,Nillumbik,"3,022","4,746.0"
2015,December,1 North West Metro,Whittlesea,"13,731","6,975.5"
2015,December,1 North West Metro,Wyndham,"14,315","6,695.0"
2015,December,1 North West Metro,Yarra,"12,954","14,405.7"
2015,December,1 North West Metro,Total,"192,968","9,757.2"
2015,December,2 Eastern,Alpine,489,"3,934.3"
2015,December,2 Eastern,Bass Coast,"2,786","8,552.3"
2015,December,2 Eastern,Baw Baw,"3,771","7,883.0"
2015,December,2 Eastern,Benalla,"1,150","8,259.7"
2015,December,2 Eastern,Boroondara,"7,457","4,267.2"
2015,December,2 Eastern,East Gippsland,"4,193","9,345.2"
2015,December,2 Eastern,Greater Shepparton,"7,650","11,862.5"
2015,December,2 Eastern,Indigo,511,"3,209.4"
2015,December,2 Eastern,Knox,"10,121","6,377.4"
2015,December,2 Eastern,Latrobe,"13,270","17,868.2"
2015,December,2 Eastern,Manningham,"4,382","3,627.9"
2015,December,2 Eastern,Mansfield,414,"4,853.5"
2015,December,2 Eastern,Maroondah,"7,779","6,882.7"
2015,December,2 Eastern,Mitchell,"4,118","10,227.5"
2015,December,2 Eastern,Moira,"1,537","5,247.9"
2015,December,2 Eastern,Monash,"10,097","5,337.4"
2015,December,2 Eastern,Murrindindi,647,"4,672.2"
2015,December,2 Eastern,South Gippsland,"1,343","4,666.3"
2015,December,2 Eastern,Strathbogie,506,"4,973.0"
2015,December,2 Eastern,Towong,194,"3,230.6"
2015,December,2 Eastern,Wangaratta,"2,410","8,563.4"
2015,December,2 Eastern,Wellington,"4,396","10,182.5"
2015,December,2 Eastern,Whitehorse,"8,361","5,016.2"
2015,December,2 Eastern,Wodonga,"3,554","9,061.0"
2015,December,2 Eastern,Yarra Ranges,"7,909","5,156.1"
2015,December,2 Eastern,Total,"109,045","6,688.9"
2015,December,3 Southern Metro,Bayside,"4,505","4,448.6"
2015,December,3 Southern Metro,Cardinia,"7,316","7,926.5"
2015,December,3 Southern Metro,Casey,"21,029","7,020.7"
2015,December,3 Southern Metro,Frankston,"14,821","10,756.2"
2015,December,3 Southern Metro,Glen Eira,"6,488","4,446.2"
2015,December,3 Southern Metro,Greater Dandenong,"19,478","12,481.0"
2015,December,3 Southern Metro,Kingston,"11,025","7,056.3"
2015,December,3 Southern Metro,Mornington Peninsula,"11,047","6,955.2"
2015,December,3 Southern Metro,Port Phillip,"12,432","11,686.3"
2015,December,3 Southern Metro,Stonnington,"10,105","9,354.1"
2015,December,3 Southern Metro,Total,"118,246","8,086.0"
2015,December,4 Western,Ararat,"1,257","10,795.3"
2015,December,4 Western,Ballarat,"11,307","11,142.2"
2015,December,4 Western,Buloke,222,"3,520.5"
2015,December,4 Western,Campaspe,"3,068","8,196.9"
2015,December,4 Western,Central Goldfields,"1,264","9,760.6"
2015,December,4 Western,Colac-Otway,"1,677","7,899.2"
2015,December,4 Western,Corangamite,681,"4,184.6"
2015,December,4 Western,Gannawarra,587,"5,571.4"
2015,December,4 Western,Glenelg,"1,583","8,026.6"
2015,December,4 Western,Golden Plains,672,"3,141.9"
2015,December,4 Western,Greater Bendigo,"8,411","7,652.8"
2015,December,4 Western,Greater Geelong,"20,848","8,950.5"
2015,December,4 Western,Hepburn,825,"5,380.2"
2015,December,4 Western,Hindmarsh,219,"3,770.7"
2015,December,4 Western,Horsham,"3,043","15,374.9"
2015,December,4 Western,Loddon,424,"5,630.1"
2015,December,4 Western,Macedon Ranges,"2,126","4,584.6"
2015,December,4 Western,Mildura,"6,166","11,385.6"
2015,December,4 Western,Moorabool,"2,177","6,857.1"
2015,December,4 Western,Mount Alexander,963,"5,124.0"
2015,December,4 Western,Moyne,586,"3,532.0"
2015,December,4 Western,Northern Grampians,"1,150","9,876.3"
2015,December,4 Western,Pyrenees,496,"6,909.0"
2015,December,4 Western,Queenscliffe,175,"5,966.6"
2015,December,4 Western,Southern Grampians,"1,149","7,109.3"
2015,December,4 Western,Surf Coast,"1,540","5,198.3"
2015,December,4 Western,Swan Hill,"2,268","10,855.3"
2015,December,4 Western,Warrnambool,"2,798","8,228.2"
2015,December,4 Western,West Wimmera,157,"3,950.7"
2015,December,4 Western,Yarriambiack,459,"6,724.3"
2015,December,4 Western,Total,"78,298","8,231.8"
2015,December,Justice Institutions and Immigration Facilities,Justice Institutions and Immigration Facilities,"1,331",
2015,December,Justice Institutions and Immigration Facilities,Total,"1,331",
2015,December,Unincorporated Vic,Unincorporated Vic,117,
2015,December,Unincorporated Vic,Total,117,
2014,December,1 North West Metro,Banyule,"8,932","7,139.5"
2014,December,1 North West Metro,Brimbank,"17,366","8,750.0"
2014,December,1 North West Metro,Darebin,"14,480","9,684.9"
2014,December,1 North West Metro,Hobsons Bay,"7,025","7,769.6"
2014,December,1 North West Metro,Hume,"17,760","9,284.9"
2014,December,1 North West Metro,Maribyrnong,"8,155","9,889.3"
2014,December,1 North West Metro,Melbourne,"33,063","25,835.5"
2014,December,1 North West Metro,Melton,"9,826","7,598.9"
2014,December,1 North West Metro,Merri-bek,"12,696","7,736.8"
2014,December,1 North West Metro,Moonee Valley,"8,483","7,203.5"
2014,December,1 North West Metro,Nillumbik,"2,051","3,233.3"
2014,December,1 North West Metro,Whittlesea,"13,591","7,233.1"
2014,December,1 North West Metro,Wyndham,"12,973","6,437.8"
2014,December,1 North West Metro,Yarra,"12,859","14,741.8"
2014,December,1 North West Metro,Total,"179,260","9,353.7"
2014,December,2 Eastern,Alpine,467,"3,779.8"
2014,December,2 Eastern,Bass Coast,"2,572","8,058.4"
2014,December,2 Eastern,Baw Baw,"3,810","8,168.3"
2014,December,2 Eastern,Benalla,"1,164","8,375.3"
2014,December,2 Eastern,Boroondara,"6,789","3,932.0"
2014,December,2 Eastern,East Gippsland,"3,913","8,837.5"
2014,December,2 Eastern,Greater Shepparton,"7,261","11,359.7"
2014,December,2 Eastern,Indigo,441,"2,803.2"
2014,December,2 Eastern,Knox,"9,540","6,059.7"
2014,December,2 Eastern,Latrobe,"11,883","16,029.1"
2014,December,2 Eastern,Manningham,"4,026","3,370.8"
2014,December,2 Eastern,Mansfield,571,"6,801.7"
2014,December,2 Eastern,Maroondah,"7,762","6,966.4"
2014,December,2 Eastern,Mitchell,"3,289","8,415.2"
2014,December,2 Eastern,Moira,"1,423","4,890.0"
2014,December,2 Eastern,Monash,"9,148","4,914.3"
2014,December,2 Eastern,Murrindindi,671,"4,902.5"
2014,December,2 Eastern,South Gippsland,"1,201","4,210.9"
2014,December,2 Eastern,Strathbogie,493,"4,921.1"
2014,December,2 Eastern,Towong,196,"3,276.5"
2014,December,2 Eastern,Wangaratta,"2,511","9,012.3"
2014,December,2 Eastern,Wellington,"3,902","9,085.4"
2014,December,2 Eastern,Whitehorse,"7,328","4,459.6"
2014,December,2 Eastern,Wodonga,"3,171","8,264.5"
2014,December,2 Eastern,Yarra Ranges,"7,055","4,642.4"
2014,December,2 Eastern,Total,"100,587","6,246.7"
2014,December,3 Southern Metro,Bayside,"4,260","4,268.7"
2014,December,3 Southern Metro,Cardinia,"5,595","6,352.9"
2014,December,3 Southern Metro,Casey,"17,611","6,116.3"
2014,December,3 Southern Metro,Frankston,"14,890","10,934.0"
2014,December,3 Southern Metro,Glen Eira,"5,352","3,724.6"
2014,December,3 Southern Metro,Greater Dandenong,"15,960","10,490.7"
2014,December,3 Southern Metro,Kingston,"9,466","6,138.4"
2014,December,3 Southern Metro,Mornington Peninsula,"10,441","6,671.6"
2014,December,3 Southern Metro,Port Phillip,"11,863","11,357.5"
2014,December,3 Southern Metro,Stonnington,"9,610","9,075.1"
2014,December,3 Southern Metro,Total,"105,048","7,351.8"
2014,December,4 Western,Ararat,"1,018","8,806.2"
2014,December,4 Western,Ballarat,"10,221","10,229.8"
2014,December,4 Western,Buloke,216,"3,409.6"
2014,December,4 Western,Campaspe,"2,948","7,895.4"
2014,December,4 Western,Central Goldfields,"1,097","8,514.4"
2014,December,4 Western,Colac-Otway,"1,534","7,259.5"
2014,December,4 Western,Corangamite,671,"4,106.5"
2014,December,4 Western,Gannawarra,546,"5,183.2"
2014,December,4 Western,Glenelg,"1,730","8,757.3"
2014,December,4 Western,Golden Plains,577,"2,760.9"
2014,December,4 Western,Greater Bendigo,"8,628","7,992.2"
2014,December,4 Western,Greater Geelong,"18,509","8,127.1"
2014,December,4 Western,Hepburn,616,"4,056.9"
2014,December,4 Western,Hindmarsh,228,"3,901.4"
2014,December,4 Western,Horsham,"2,379","12,046.8"
2014,December,4 Western,Loddon,531,"7,067.7"
2014,December,4 Western,Macedon Ranges,"2,088","4,591.9"
2014,December,4 Western,Mildura,"5,935","11,044.5"
2014,December,4 Western,Moorabool,"1,921","6,183.6"
2014,December,4 Western,Mount Alexander,"1,012","5,470.0"
2014,December,4 Western,Moyne,646,"3,912.3"
2014,December,4 Western,Northern Grampians,936,"7,947.7"
2014,December,4 Western,Pyrenees,451,"6,399.9"
2014,December,4 Western,Queenscliffe,126,"4,242.4"
2014,December,4 Western,Southern Grampians,953,"5,862.8"
2014,December,4 Western,Surf Coast,"1,411","4,886.7"
2014,December,4 Western,Swan Hill,"2,197","10,491.9"
2014,December,4 Western,Warrnambool,"3,001","8,897.4"
2014,December,4 Western,West Wimmera,194,"4,804.4"
2014,December,4 Western,Yarriambiack,355,"5,127.1"
2014,December,4 Western,Total,"72,675","7,743.6"
2014,December,Justice Institutions and Immigration Facilities,Justice Institutions and Immigration Facilities,980,
2014,December,Justice Institutions and Immigration Facilities,Total,980,
2014,December,Unincorporated Vic,Unincorporated Vic,116,
2014,December,Unincorporated Vic,Total,116,
