Year,Year ending,Police Region,Local Government Area,Offence Count,"Rate per 100,000 population"
2022,December,2 Eastern,Boroondara,"7,079","4,176.4"
2022,December,2 Eastern,East Gippsland,"4,877","9,968.9"
2022,December,2 Eastern,Greater Shepparton,"8,921","12,943.1"
2022,December,2 Eastern,Indigo,730,"4,191.1"
2022,December,2 Eastern,Knox,"9,133","5,727.3"
2022,December,2 Eastern,Latrobe,"11,186","14,402.3"
2022,December,2 Eastern,Manningham,"3,811","3,012.9"
2022,December,2 Eastern,Mansfield,382,"3,696.2"
2022,December,2 Eastern,Maroondah,"7,525","6,504.5"
2022,December,2 Eastern,Mitchell,"3,868","7,488.3"
2022,December,2 Eastern,Moira,"2,048","6,699.2"
2022,December,2 Eastern,Monash,"11,782","6,045.9"
2022,December,2 Eastern,Murrindindi,750,"4,886.6"
2022,December,2 Eastern,South Gippsland,"1,942","6,326.4"
2022,December,2 Eastern,Strathbogie,611,"5,308.4"
2022,December,2 Eastern,Towong,159,"2,566.2"
2022,December,2 Eastern,Wangaratta,"2,448","8,186.5"
2022,December,2 Eastern,Wellington,"4,481","9,784.1"
2022,December,2 Eastern,Whitehorse,"7,933","4,599.7"
2022,December,2 Eastern,Wodonga,"3,635","8,319.2"
2022,December,2 Eastern,Yarra Ranges,"6,973","4,430.5"
2022,December,2 Eastern,Total,"109,026","6,363.9"
2022,December,3 Southern Metro,Bayside,"4,954","4,848.4"
2022,December,3 Southern Metro,Cardinia,"6,159","5,003.1"
2022,December,3 Southern Metro,Casey,"20,949","5,529.9"
2022,December,3 Southern Metro,Frankston,"12,737","9,028.3"
2022,December,3 Southern Metro,Glen Eira,"6,934","4,571.0"
2022,December,3 Southern Metro,Greater Dandenong,"17,016","10,691.7"
2022,December,3 Southern Metro,Kingston,"10,694","6,683.5"
2022,December,3 Southern Metro,Mornington Peninsula,"9,293","5,477.3"
2022,December,3 Southern Metro,Port Phillip,"12,598","12,114.6"
2022,December,3 Southern Metro,Stonnington,"11,314","10,631.7"
2022,December,3 Southern Metro,Total,"112,648","7,057.7"
2022,December,4 Western,Ararat,"1,342","11,417.4"
2022,December,4 Western,Ballarat,"10,953","9,446.2"
2022,December,4 Western,Buloke,289,"4,723.8"
2022,December,4 Western,Campaspe,"3,338","8,660.9"
2022,December,4 Western,Central Goldfields,"1,174","8,686.0"
2022,December,4 Western,Colac-Otway,"1,551","6,990.3"
2022,December,4 Western,Corangamite,682,"4,264.4"
2022,December,4 Western,Gannawarra,804,"7,634.6"
2022,December,4 Western,Glenelg,"1,650","8,233.1"
2022,December,4 Western,Golden Plains,600,"2,370.4"
2022,December,4 Western,Greater Bendigo,"10,467","8,534.2"
2022,December,4 Western,Greater Geelong,"19,875","7,189.5"
2022,December,4 Western,Hepburn,620,"3,742.4"
2022,December,4 Western,Hindmarsh,265,"4,733.0"
2022,December,4 Western,Horsham,"2,386","11,732.3"
2022,December,4 Western,Loddon,457,"5,898.3"
2022,December,4 Western,Macedon Ranges,"2,027","3,884.7"
2022,December,4 Western,Mildura,"7,369","12,879.3"
2022,December,4 Western,Moorabool,"2,025","5,258.9"
2022,December,4 Western,Mount Alexander,923,"4,543.0"
2022,December,4 Western,Moyne,659,"3,772.2"
2022,December,4 Western,Northern Grampians,983,"8,277.9"
2022,December,4 Western,Pyrenees,372,"4,862.1"
2022,December,4 Western,Queenscliffe,109,"3,385.1"
2022,December,4 Western,Southern Grampians,"1,257","7,667.9"
2022,December,4 Western,Surf Coast,"1,075","2,781.2"
2022,December,4 Western,Swan Hill,"2,074","9,771.5"
2022,December,4 Western,Warrnambool,"2,933","8,248.3"
2022,December,4 Western,West Wimmera,117,"2,968.0"
2022,December,4 Western,Yarriambiack,452,"7,024.1"
2022,December,4 Western,Total,"78,828","7,437.1"
2022,December,Justice Institutions and Immigration Facilities,Justice Institutions and Immigration Facilities,"2,050",
2022,December,Justice Institutions and Immigration Facilities,Total,"2,050",
2022,December,Unincorporated Vic,Unincorporated Vic,107,
2022,December,Unincorporated Vic,Total,107,
2021,December,1 North West Metro,Banyule,"7,351","5,771.4"
2021,December,1 North West Metro,Brimbank,"16,994","8,642.6"
2021,December,1 North West Metro,Darebin,"12,641","8,410.7"
2021,December,1 North West Metro,Hobsons Bay,"5,832","6,320.8"
2021,December,1 North West Metro,Hume,"17,888","7,244.5"
2021,December,1 North West Metro,Maribyrnong,"8,622","9,980.9"
2021,December,1 North West Metro,Melbourne,"33,627","21,962.6"
2021,December,1 North West Metro,Melton,"12,101","6,672.9"
2021,December,1 North West Metro,Merri-bek,"11,638","6,707.8"
2021,December,1 North West Metro,Moonee Valley,"7,888","6,415.6"
2021,December,1 North West Metro,Nillumbik,"2,202","3,470.4"
2021,December,1 North West Metro,Whittlesea,"13,143","5,669.2"
