Year,Year ending,Local Government Area,Investigation Status,Offence Count
2016,December,Moyne,Not authorised,63
2016,December,Moyne,Other,54
2016,December,Moyne,Unsolved,216
2016,December,Murrindindi,Arrest/Summons,312
2016,December,Murrindindi,Not authorised,58
2016,December,Murrindindi,Other,91
2016,December,Murrindindi,Unsolved,254
2016,December,Nillumbik,Arrest/Summons,"1,450"
2016,December,Nillumbik,Not authorised,188
2016,December,Nillumbik,Other,131
2016,December,Nillumbik,Unsolved,"1,405"
2016,December,Northern Grampians,Arrest/Summons,820
2016,December,Northern Grampians,Not authorised,120
2016,December,Northern Grampians,Other,141
2016,December,Northern Grampians,Unsolved,265
2016,December,Port Phillip,Arrest/Summons,"5,357"
2016,December,Port Phillip,Not authorised,619
2016,December,Port Phillip,Other,985
2016,December,Port Phillip,Unsolved,"6,640"
2016,December,Pyrenees,Arrest/Summons,250
2016,December,Pyrenees,Not authorised,42
2016,December,Pyrenees,Other,44
2016,December,Pyrenees,Unsolved,225
2016,December,Queenscliffe,Arrest/Summons,47
2016,December,Queenscliffe,Not authorised,6
2016,December,Queenscliffe,Other,6
2016,December,Queenscliffe,Unsolved,84
2016,December,South Gippsland,Arrest/Summons,833
2016,December,South Gippsland,Not authorised,131
2016,December,South Gippsland,Other,106
2016,December,South Gippsland,Unsolved,433
2016,December,Southern Grampians,Arrest/Summons,860
2016,December,Southern Grampians,Not authorised,108
2016,December,Southern Grampians,Other,103
2016,December,Southern Grampians,Unsolved,279
2016,December,Stonnington,Arrest/Summons,"4,585"
2016,December,Stonnington,Not authorised,477
2016,December,Stonnington,Other,884
2016,December,Stonnington,Unsolved,"5,644"
2016,December,Strathbogie,Arrest/Summons,383
2016,December,Strathbogie,Not authorised,48
2016,December,Strathbogie,Other,36
2016,December,Strathbogie,Unsolved,211
2016,December,Surf Coast,Arrest/Summons,544
2016,December,Surf Coast,Not authorised,71
2016,December,Surf Coast,Other,90
2016,December,Surf Coast,Unsolved,647
2016,December,Swan Hill,Arrest/Summons,"1,327"
2016,December,Swan Hill,Not authorised,172
2016,December,Swan Hill,Other,271
2016,December,Swan Hill,Unsolved,454
2016,December,Towong,Arrest/Summons,135
2016,December,Towong,Not authorised,18
2016,December,Towong,Other,32
2016,December,Towong,Unsolved,58
2016,December,Wangaratta,Arrest/Summons,"1,604"
2016,December,Wangaratta,Not authorised,192
2016,December,Wangaratta,Other,256
2016,December,Wangaratta,Unsolved,542
2016,December,Warrnambool,Arrest/Summons,"1,909"
2016,December,Warrnambool,Not authorised,251
2016,December,Warrnambool,Other,276
2016,December,Warrnambool,Unsolved,803
2016,December,Wellington,Arrest/Summons,"2,757"
2016,December,Wellington,Not authorised,446
2016,December,Wellington,Other,347
2016,December,Wellington,Unsolved,"1,197"
2016,December,West Wimmera,Arrest/Summons,112
2016,December,West Wimmera,Not authorised,14
2016,December,West Wimmera,Other,23
2016,December,West Wimmera,Unsolved,38
2016,December,Whitehorse,Arrest/Summons,"3,197"
2016,December,Whitehorse,Not authorised,399
2016,December,Whitehorse,Other,493
2016,December,Whitehorse,Unsolved,"3,899"
2016,December,Whittlesea,Arrest/Summons,"6,788"
2016,December,Whittlesea,Not authorised,"1,156"
2016,December,Whittlesea,Other,709
2016,December,Whittlesea,Unsolved,"8,013"
2016,December,Wodonga,Arrest/Summons,"1,963"
2016,December,Wodonga,Not authorised,120
2016,December,Wodonga,Other,288
2016,December,Wodonga,Unsolved,939
2016,December,Wyndham,Arrest/Summons,"6,898"
2016,December,Wyndham,Not authorised,659
2016,December,Wyndham,Other,727
2016,December,Wyndham,Unsolved,"7,096"
2016,December,Yarra,Arrest/Summons,"5,652"
2016,December,Yarra,Not authorised,562
2016,December,Yarra,Other,778
2016,December,Yarra,Unsolved,"7,012"
2016,December,Yarra Ranges,Arrest/Summons,"4,886"
2016,December,Yarra Ranges,Not authorised,594
2016,December,Yarra Ranges,Other,527
2016,December,Yarra Ranges,Unsolved,"2,910"
2016,December,Yarriambiack,Arrest/Summons,242
2016,December,Yarriambiack,Not authorised,50
2016,December,Yarriambiack,Other,35
2016,December,Yarriambiack,Unsolved,113
2015,December,Alpine,Arrest/Summons,271
2015,December,Alpine,Not authorised,40
2015,December,Alpine,Other,59
2015,December,Alpine,Unsolved,119
2015,December,Ararat,Arrest/Summons,725
2015,December,Ararat,Not authorised,83
2015,December,Ararat,Other,146
2015,December,Ararat,Unsolved,303
2015,December,Ballarat,Arrest/Summons,"5,128"
2015,December,Ballarat,Not authorised,451
2015,December,Ballarat,Other,"1,000"
2015,December,Ballarat,Unsolved,"4,728"
2015,December,Banyule,Arrest/Summons,"4,551"
2015,December,Banyule,Not authorised,471
2015,December,Banyule,Other,880
2015,December,Banyule,Unsolved,"3,324"
2015,December,Bass Coast,Arrest/Summons,"1,559"
2015,December,Bass Coast,Not authorised,258
2015,December,Bass Coast,Other,296
2015,December,Bass Coast,Unsolved,673
2015,December,Baw Baw,Arrest/Summons,"2,308"
2015,December,Baw Baw,Not authorised,279
2015,December,Baw Baw,Other,291
2015,December,Baw Baw,Unsolved,893
2015,December,Bayside,Arrest/Summons,"1,523"
2015,December,Bayside,Not authorised,281
2015,December,Bayside,Other,415
2015,December,Bayside,Unsolved,"2,286"
2015,December,Benalla,Arrest/Summons,620
2015,December,Benalla,Not authorised,145
2015,December,Benalla,Other,116
2015,December,Benalla,Unsolved,269
2015,December,Boroondara,Arrest/Summons,"2,537"
2015,December,Boroondara,Not authorised,357
2015,December,Boroondara,Other,433
2015,December,Boroondara,Unsolved,"4,130"
2015,December,Brimbank,Arrest/Summons,"9,602"
2015,December,Brimbank,Not authorised,739
2015,December,Brimbank,Other,827
2015,December,Brimbank,Unsolved,"8,060"
2015,December,Buloke,Arrest/Summons,99
2015,December,Buloke,Not authorised,14
2015,December,Buloke,Other,11
2015,December,Buloke,Unsolved,98
2015,December,Campaspe,Arrest/Summons,"1,651"
2015,December,Campaspe,Not authorised,161
2015,December,Campaspe,Other,235
2015,December,Campaspe,Unsolved,"1,021"
2015,December,Cardinia,Arrest/Summons,"3,896"
2015,December,Cardinia,Not authorised,586
2015,December,Cardinia,Other,553
2015,December,Cardinia,Unsolved,"2,281"
2015,December,Casey,Arrest/Summons,"10,074"
2015,December,Casey,Not authorised,"1,659"
2015,December,Casey,Other,"1,371"
2015,December,Casey,Unsolved,"7,925"
2015,December,Central Goldfields,Arrest/Summons,826
2015,December,Central Goldfields,Not authorised,91
2015,December,Central Goldfields,Other,89
2015,December,Central Goldfields,Unsolved,258
2015,December,Colac-Otway,Arrest/Summons,953
2015,December,Colac-Otway,Not authorised,113
2015,December,Colac-Otway,Other,157
2015,December,Colac-Otway,Unsolved,454
2015,December,Corangamite,Arrest/Summons,332
2015,December,Corangamite,Not authorised,63
2015,December,Corangamite,Other,49
2015,December,Corangamite,Unsolved,237
2015,December,Darebin,Arrest/Summons,"6,844"
2015,December,Darebin,Not authorised,709
2015,December,Darebin,Other,728
2015,December,Darebin,Unsolved,"7,058"
2015,December,East Gippsland,Arrest/Summons,"2,147"
2015,December,East Gippsland,Not authorised,500
2015,December,East Gippsland,Other,389
2015,December,East Gippsland,Unsolved,"1,157"
2015,December,Frankston,Arrest/Summons,"8,235"
2015,December,Frankston,Not authorised,738
2015,December,Frankston,Other,"1,290"
2015,December,Frankston,Unsolved,"4,558"
2015,December,Gannawarra,Arrest/Summons,328
2015,December,Gannawarra,Not authorised,37
2015,December,Gannawarra,Other,57
2015,December,Gannawarra,Unsolved,165
2015,December,Glen Eira,Arrest/Summons,"2,387"
2015,December,Glen Eira,Not authorised,411
2015,December,Glen Eira,Other,527
2015,December,Glen Eira,Unsolved,"3,163"
2015,December,Glenelg,Arrest/Summons,851
2015,December,Glenelg,Not authorised,104
2015,December,Glenelg,Other,139
2015,December,Glenelg,Unsolved,489
2015,December,Golden Plains,Arrest/Summons,221
2015,December,Golden Plains,Not authorised,42
2015,December,Golden Plains,Other,43
2015,December,Golden Plains,Unsolved,366
2015,December,Greater Bendigo,Arrest/Summons,"4,416"
2015,December,Greater Bendigo,Not authorised,521
2015,December,Greater Bendigo,Other,806
2015,December,Greater Bendigo,Unsolved,"2,668"
2015,December,Greater Dandenong,Arrest/Summons,"10,638"
2015,December,Greater Dandenong,Not authorised,"1,078"
2015,December,Greater Dandenong,Other,"1,361"
2015,December,Greater Dandenong,Unsolved,"6,401"
2015,December,Greater Geelong,Arrest/Summons,"9,695"
2015,December,Greater Geelong,Not authorised,968
2015,December,Greater Geelong,Other,"1,478"
2015,December,Greater Geelong,Unsolved,"8,707"
2015,December,Greater Shepparton,Arrest/Summons,"4,297"
2015,December,Greater Shepparton,Not authorised,438
2015,December,Greater Shepparton,Other,562
2015,December,Greater Shepparton,Unsolved,"2,353"
2015,December,Hepburn,Arrest/Summons,374
2015,December,Hepburn,Not authorised,41
2015,December,Hepburn,Other,57
2015,December,Hepburn,Unsolved,353
2015,December,Hindmarsh,Arrest/Summons,135
2015,December,Hindmarsh,Not authorised,17
2015,December,Hindmarsh,Other,31
2015,December,Hindmarsh,Unsolved,36
2015,December,Hobsons Bay,Arrest/Summons,"3,170"
2015,December,Hobsons Bay,Not authorised,334
2015,December,Hobsons Bay,Other,426
2015,December,Hobsons Bay,Unsolved,"2,967"
2015,December,Horsham,Arrest/Summons,"2,030"
2015,December,Horsham,Not authorised,215
2015,December,Horsham,Other,259
2015,December,Horsham,Unsolved,539
2015,December,Hume,Arrest/Summons,"9,815"
2015,December,Hume,Not authorised,"1,164"
2015,December,Hume,Other,"1,181"
2015,December,Hume,Unsolved,"8,331"
2015,December,Indigo,Arrest/Summons,242
2015,December,Indigo,Not authorised,20
2015,December,Indigo,Other,45
2015,December,Indigo,Unsolved,204
2015,December,Kingston,Arrest/Summons,"5,247"
2015,December,Kingston,Not authorised,727
2015,December,Kingston,Other,908
2015,December,Kingston,Unsolved,"4,143"
2015,December,Knox,Arrest/Summons,"5,195"
2015,December,Knox,Not authorised,638
2015,December,Knox,Other,590
2015,December,Knox,Unsolved,"3,698"
2015,December,Latrobe,Arrest/Summons,"8,331"
2015,December,Latrobe,Not authorised,"1,065"
2015,December,Latrobe,Other,"1,027"
2015,December,Latrobe,Unsolved,"2,847"
2015,December,Loddon,Arrest/Summons,225
2015,December,Loddon,Not authorised,22
2015,December,Loddon,Other,36
2015,December,Loddon,Unsolved,141
2015,December,Macedon Ranges,Arrest/Summons,"1,083"
2015,December,Macedon Ranges,Not authorised,137
2015,December,Macedon Ranges,Other,168
2015,December,Macedon Ranges,Unsolved,738
2015,December,Manningham,Arrest/Summons,"1,741"
2015,December,Manningham,Not authorised,274
2015,December,Manningham,Other,313
2015,December,Manningham,Unsolved,"2,054"
2015,December,Mansfield,Arrest/Summons,188
2015,December,Mansfield,Not authorised,24
2015,December,Mansfield,Other,48
2015,December,Mansfield,Unsolved,154
2015,December,Maribyrnong,Arrest/Summons,"3,960"
2015,December,Maribyrnong,Not authorised,293
2015,December,Maribyrnong,Other,550
2015,December,Maribyrnong,Unsolved,"3,875"
2015,December,Maroondah,Arrest/Summons,"4,179"
2015,December,Maroondah,Not authorised,422
2015,December,Maroondah,Other,522
2015,December,Maroondah,Unsolved,"2,656"
2015,December,Melbourne,Arrest/Summons,"17,406"
2015,December,Melbourne,Not authorised,"1,278"
2015,December,Melbourne,Other,"4,401"
2015,December,Melbourne,Unsolved,"11,331"
2015,December,Melton,Arrest/Summons,"5,063"
2015,December,Melton,Not authorised,516
2015,December,Melton,Other,454
2015,December,Melton,Unsolved,"4,978"
2015,December,Merri-bek,Arrest/Summons,"5,332"
2015,December,Merri-bek,Not authorised,847
2015,December,Merri-bek,Other,625
2015,December,Merri-bek,Unsolved,"7,235"
2015,December,Mildura,Arrest/Summons,"3,145"
2015,December,Mildura,Not authorised,364
2015,December,Mildura,Other,696
2015,December,Mildura,Unsolved,"1,961"
2015,December,Mitchell,Arrest/Summons,"2,313"
2015,December,Mitchell,Not authorised,439
2015,December,Mitchell,Other,313
2015,December,Mitchell,Unsolved,"1,053"
2015,December,Moira,Arrest/Summons,811
2015,December,Moira,Not authorised,98
2015,December,Moira,Other,209
2015,December,Moira,Unsolved,419
2015,December,Monash,Arrest/Summons,"4,242"
2015,December,Monash,Not authorised,472
2015,December,Monash,Other,606
2015,December,Monash,Unsolved,"4,777"
2015,December,Moonee Valley,Arrest/Summons,"4,235"
2015,December,Moonee Valley,Not authorised,533
2015,December,Moonee Valley,Other,622
2015,December,Moonee Valley,Unsolved,"4,231"
2015,December,Moorabool,Arrest/Summons,"1,086"
2015,December,Moorabool,Not authorised,122
2015,December,Moorabool,Other,171
2015,December,Moorabool,Unsolved,798
2015,December,Mornington Peninsula,Arrest/Summons,"5,283"
2015,December,Mornington Peninsula,Not authorised,752
2015,December,Mornington Peninsula,Other,"1,222"
2015,December,Mornington Peninsula,Unsolved,"3,790"
2015,December,Mount Alexander,Arrest/Summons,509
2015,December,Mount Alexander,Not authorised,91
2015,December,Mount Alexander,Other,98
2015,December,Mount Alexander,Unsolved,265
2015,December,Moyne,Arrest/Summons,339
2015,December,Moyne,Not authorised,41
2015,December,Moyne,Other,40
2015,December,Moyne,Unsolved,166
2015,December,Murrindindi,Arrest/Summons,245
2015,December,Murrindindi,Not authorised,75
2015,December,Murrindindi,Other,56
2015,December,Murrindindi,Unsolved,271
2015,December,Nillumbik,Arrest/Summons,"1,549"
2015,December,Nillumbik,Not authorised,197
2015,December,Nillumbik,Other,153
2015,December,Nillumbik,Unsolved,"1,123"
2015,December,Northern Grampians,Arrest/Summons,629
2015,December,Northern Grampians,Not authorised,133
2015,December,Northern Grampians,Other,116
2015,December,Northern Grampians,Unsolved,272
2015,December,Port Phillip,Arrest/Summons,"4,753"
2015,December,Port Phillip,Not authorised,666
2015,December,Port Phillip,Other,"1,186"
2015,December,Port Phillip,Unsolved,"5,827"
2015,December,Pyrenees,Arrest/Summons,204
2015,December,Pyrenees,Not authorised,36
2015,December,Pyrenees,Other,33
2015,December,Pyrenees,Unsolved,223
2015,December,Queenscliffe,Arrest/Summons,45
2015,December,Queenscliffe,Not authorised,4
2015,December,Queenscliffe,Other,15
2015,December,Queenscliffe,Unsolved,111
2015,December,South Gippsland,Arrest/Summons,838
2015,December,South Gippsland,Not authorised,90
2015,December,South Gippsland,Other,96
2015,December,South Gippsland,Unsolved,319
2015,December,Southern Grampians,Arrest/Summons,703
2015,December,Southern Grampians,Not authorised,80
2015,December,Southern Grampians,Other,119
2015,December,Southern Grampians,Unsolved,247
2015,December,Stonnington,Arrest/Summons,"4,197"
2015,December,Stonnington,Not authorised,422
2015,December,Stonnington,Other,845
2015,December,Stonnington,Unsolved,"4,641"
2015,December,Strathbogie,Arrest/Summons,254
2015,December,Strathbogie,Not authorised,47
2015,December,Strathbogie,Other,30
2015,December,Strathbogie,Unsolved,175
2015,December,Surf Coast,Arrest/Summons,590
2015,December,Surf Coast,Not authorised,71
2015,December,Surf Coast,Other,126
2015,December,Surf Coast,Unsolved,753
2015,December,Swan Hill,Arrest/Summons,"1,450"
2015,December,Swan Hill,Not authorised,154
2015,December,Swan Hill,Other,286
2015,December,Swan Hill,Unsolved,378
2015,December,Towong,Arrest/Summons,82
2015,December,Towong,Not authorised,12
2015,December,Towong,Other,25
2015,December,Towong,Unsolved,75
2015,December,Wangaratta,Arrest/Summons,"1,388"
2015,December,Wangaratta,Not authorised,178
2015,December,Wangaratta,Other,369
2015,December,Wangaratta,Unsolved,475
2015,December,Warrnambool,Arrest/Summons,"1,604"
2015,December,Warrnambool,Not authorised,172
2015,December,Warrnambool,Other,293
2015,December,Warrnambool,Unsolved,729
2015,December,Wellington,Arrest/Summons,"2,414"
2015,December,Wellington,Not authorised,446
2015,December,Wellington,Other,342
2015,December,Wellington,Unsolved,"1,194"
2015,December,West Wimmera,Arrest/Summons,93
2015,December,West Wimmera,Not authorised,13
2015,December,West Wimmera,Other,22
2015,December,West Wimmera,Unsolved,29
2015,December,Whitehorse,Arrest/Summons,"4,148"
2015,December,Whitehorse,Not authorised,306
2015,December,Whitehorse,Other,448
2015,December,Whitehorse,Unsolved,"3,459"
2015,December,Whittlesea,Arrest/Summons,"5,978"
2015,December,Whittlesea,Not authorised,"1,115"
2015,December,Whittlesea,Other,615
2015,December,Whittlesea,Unsolved,"6,023"
2015,December,Wodonga,Arrest/Summons,"2,126"
2015,December,Wodonga,Not authorised,165
2015,December,Wodonga,Other,250
2015,December,Wodonga,Unsolved,"1,013"
2015,December,Wyndham,Arrest/Summons,"6,414"
2015,December,Wyndham,Not authorised,591
2015,December,Wyndham,Other,637
2015,December,Wyndham,Unsolved,"6,673"
2015,December,Yarra,Arrest/Summons,"5,729"
2015,December,Yarra,Not authorised,526
2015,December,Yarra,Other,876
2015,December,Yarra,Unsolved,"5,823"
2015,December,Yarra Ranges,Arrest/Summons,"4,283"
2015,December,Yarra Ranges,Not authorised,596
2015,December,Yarra Ranges,Other,548
2015,December,Yarra Ranges,Unsolved,"2,482"
2015,December,Yarriambiack,Arrest/Summons,251
2015,December,Yarriambiack,Not authorised,45
2015,December,Yarriambiack,Other,43
2015,December,Yarriambiack,Unsolved,120
2014,December,Alpine,Arrest/Summons,307
2014,December,Alpine,Not authorised,23
2014,December,Alpine,Other,56
2014,December,Alpine,Unsolved,81
2014,December,Ararat,Arrest/Summons,520
2014,December,Ararat,Not authorised,81
2014,December,Ararat,Other,168
2014,December,Ararat,Unsolved,249
2014,December,Ballarat,Arrest/Summons,"4,913"
2014,December,Ballarat,Not authorised,559
2014,December,Ballarat,Other,"1,088"
2014,December,Ballarat,Unsolved,"3,661"
2014,December,Banyule,Arrest/Summons,"4,416"
2014,December,Banyule,Not authorised,473
2014,December,Banyule,Other,617
2014,December,Banyule,Unsolved,"3,426"
2014,December,Bass Coast,Arrest/Summons,"1,238"
2014,December,Bass Coast,Not authorised,265
2014,December,Bass Coast,Other,321
2014,December,Bass Coast,Unsolved,748
2014,December,Baw Baw,Arrest/Summons,"2,358"
2014,December,Baw Baw,Not authorised,239
2014,December,Baw Baw,Other,410
2014,December,Baw Baw,Unsolved,803
2014,December,Bayside,Arrest/Summons,"1,604"
2014,December,Bayside,Not authorised,261
2014,December,Bayside,Other,442
2014,December,Bayside,Unsolved,"1,953"
2014,December,Benalla,Arrest/Summons,670
2014,December,Benalla,Not authorised,93
2014,December,Benalla,Other,111
2014,December,Benalla,Unsolved,290
2014,December,Boroondara,Arrest/Summons,"2,145"
2014,December,Boroondara,Not authorised,323
2014,December,Boroondara,Other,452
2014,December,Boroondara,Unsolved,"3,869"
2014,December,Brimbank,Arrest/Summons,"8,212"
2014,December,Brimbank,Not authorised,737
2014,December,Brimbank,Other,799
2014,December,Brimbank,Unsolved,"7,618"
2014,December,Buloke,Arrest/Summons,91
2014,December,Buloke,Not authorised,14
2014,December,Buloke,Other,36
2014,December,Buloke,Unsolved,75
2014,December,Campaspe,Arrest/Summons,"1,269"
2014,December,Campaspe,Not authorised,133
2014,December,Campaspe,Other,373
2014,December,Campaspe,Unsolved,"1,173"
2014,December,Cardinia,Arrest/Summons,"2,706"
2014,December,Cardinia,Not authorised,441
2014,December,Cardinia,Other,624
2014,December,Cardinia,Unsolved,"1,824"
2014,December,Casey,Arrest/Summons,"7,696"
2014,December,Casey,Not authorised,"1,584"
2014,December,Casey,Other,"1,609"
2014,December,Casey,Unsolved,"6,722"
2014,December,Central Goldfields,Arrest/Summons,602
2014,December,Central Goldfields,Not authorised,109
2014,December,Central Goldfields,Other,108
2014,December,Central Goldfields,Unsolved,278
2014,December,Colac-Otway,Arrest/Summons,771
2014,December,Colac-Otway,Not authorised,170
2014,December,Colac-Otway,Other,197
2014,December,Colac-Otway,Unsolved,396
2014,December,Corangamite,Arrest/Summons,335
2014,December,Corangamite,Not authorised,73
2014,December,Corangamite,Other,50
2014,December,Corangamite,Unsolved,213
2014,December,Darebin,Arrest/Summons,"5,950"
2014,December,Darebin,Not authorised,662
2014,December,Darebin,Other,857
2014,December,Darebin,Unsolved,"7,011"
2014,December,East Gippsland,Arrest/Summons,"1,886"
2014,December,East Gippsland,Not authorised,527
2014,December,East Gippsland,Other,437
2014,December,East Gippsland,Unsolved,"1,063"
2014,December,Frankston,Arrest/Summons,"8,468"
2014,December,Frankston,Not authorised,764
2014,December,Frankston,Other,"1,657"
2014,December,Frankston,Unsolved,"4,001"
2014,December,Gannawarra,Arrest/Summons,291
2014,December,Gannawarra,Not authorised,35
2014,December,Gannawarra,Other,83
2014,December,Gannawarra,Unsolved,137
2014,December,Glen Eira,Arrest/Summons,"1,759"
2014,December,Glen Eira,Not authorised,336
2014,December,Glen Eira,Other,533
2014,December,Glen Eira,Unsolved,"2,724"
2014,December,Glenelg,Arrest/Summons,819
2014,December,Glenelg,Not authorised,105
2014,December,Glenelg,Other,186
2014,December,Glenelg,Unsolved,620
2014,December,Golden Plains,Arrest/Summons,170
2014,December,Golden Plains,Not authorised,46
2014,December,Golden Plains,Other,33
2014,December,Golden Plains,Unsolved,328
2014,December,Greater Bendigo,Arrest/Summons,"4,741"
2014,December,Greater Bendigo,Not authorised,480
2014,December,Greater Bendigo,Other,"1,053"
2014,December,Greater Bendigo,Unsolved,"2,354"
2014,December,Greater Dandenong,Arrest/Summons,"8,051"
2014,December,Greater Dandenong,Not authorised,"1,112"
2014,December,Greater Dandenong,Other,"1,512"
2014,December,Greater Dandenong,Unsolved,"5,285"
2014,December,Greater Geelong,Arrest/Summons,"7,239"
2014,December,Greater Geelong,Not authorised,881
2014,December,Greater Geelong,Other,"1,618"
2014,December,Greater Geelong,Unsolved,"8,771"
2014,December,Greater Shepparton,Arrest/Summons,"3,591"
2014,December,Greater Shepparton,Not authorised,399
2014,December,Greater Shepparton,Other,674
2014,December,Greater Shepparton,Unsolved,"2,597"
2014,December,Hepburn,Arrest/Summons,254
2014,December,Hepburn,Not authorised,47
2014,December,Hepburn,Other,55
2014,December,Hepburn,Unsolved,260
2014,December,Hindmarsh,Arrest/Summons,129
2014,December,Hindmarsh,Not authorised,20
2014,December,Hindmarsh,Other,31
2014,December,Hindmarsh,Unsolved,48
2014,December,Hobsons Bay,Arrest/Summons,"3,046"
2014,December,Hobsons Bay,Not authorised,427
2014,December,Hobsons Bay,Other,526
2014,December,Hobsons Bay,Unsolved,"3,026"
2014,December,Horsham,Arrest/Summons,"1,345"
2014,December,Horsham,Not authorised,228
2014,December,Horsham,Other,311
2014,December,Horsham,Unsolved,495
2014,December,Hume,Arrest/Summons,"8,474"
2014,December,Hume,Not authorised,978
2014,December,Hume,Other,"1,087"
2014,December,Hume,Unsolved,"7,221"
2014,December,Indigo,Arrest/Summons,213
2014,December,Indigo,Not authorised,22
2014,December,Indigo,Other,55
2014,December,Indigo,Unsolved,151
2014,December,Kingston,Arrest/Summons,"4,364"
2014,December,Kingston,Not authorised,640
2014,December,Kingston,Other,965
2014,December,Kingston,Unsolved,"3,497"
2014,December,Knox,Arrest/Summons,"4,553"
2014,December,Knox,Not authorised,595
2014,December,Knox,Other,754
2014,December,Knox,Unsolved,"3,638"
2014,December,Latrobe,Arrest/Summons,"7,225"
2014,December,Latrobe,Not authorised,954
2014,December,Latrobe,Other,"1,143"
2014,December,Latrobe,Unsolved,"2,561"
2014,December,Loddon,Arrest/Summons,373
2014,December,Loddon,Not authorised,23
2014,December,Loddon,Other,40
2014,December,Loddon,Unsolved,95
2014,December,Macedon Ranges,Arrest/Summons,"1,059"
2014,December,Macedon Ranges,Not authorised,145
2014,December,Macedon Ranges,Other,161
2014,December,Macedon Ranges,Unsolved,723
2014,December,Manningham,Arrest/Summons,"1,614"
2014,December,Manningham,Not authorised,249
2014,December,Manningham,Other,351
2014,December,Manningham,Unsolved,"1,812"
2014,December,Mansfield,Arrest/Summons,251
2014,December,Mansfield,Not authorised,44
2014,December,Mansfield,Other,79
2014,December,Mansfield,Unsolved,197
2014,December,Maribyrnong,Arrest/Summons,"3,470"
2014,December,Maribyrnong,Not authorised,333
2014,December,Maribyrnong,Other,789
2014,December,Maribyrnong,Unsolved,"3,563"
2014,December,Maroondah,Arrest/Summons,"3,839"
2014,December,Maroondah,Not authorised,396
2014,December,Maroondah,Other,694
2014,December,Maroondah,Unsolved,"2,833"
2014,December,Melbourne,Arrest/Summons,"16,351"
2014,December,Melbourne,Not authorised,"1,159"
2014,December,Melbourne,Other,"5,499"
2014,December,Melbourne,Unsolved,"10,054"
2014,December,Melton,Arrest/Summons,"4,391"
2014,December,Melton,Not authorised,539
2014,December,Melton,Other,505
2014,December,Melton,Unsolved,"4,391"
2014,December,Merri-bek,Arrest/Summons,"4,352"
2014,December,Merri-bek,Not authorised,798
2014,December,Merri-bek,Other,739
2014,December,Merri-bek,Unsolved,"6,807"
2014,December,Mildura,Arrest/Summons,"2,765"
2014,December,Mildura,Not authorised,348
2014,December,Mildura,Other,794
2014,December,Mildura,Unsolved,"2,028"
2014,December,Mitchell,Arrest/Summons,"1,730"
2014,December,Mitchell,Not authorised,365
2014,December,Mitchell,Other,309
2014,December,Mitchell,Unsolved,885
2014,December,Moira,Arrest/Summons,738
2014,December,Moira,Not authorised,87
2014,December,Moira,Other,199
2014,December,Moira,Unsolved,399
2014,December,Monash,Arrest/Summons,"3,705"
2014,December,Monash,Not authorised,456
2014,December,Monash,Other,546
2014,December,Monash,Unsolved,"4,441"
2014,December,Moonee Valley,Arrest/Summons,"3,524"
2014,December,Moonee Valley,Not authorised,439
2014,December,Moonee Valley,Other,655
2014,December,Moonee Valley,Unsolved,"3,865"
2014,December,Moorabool,Arrest/Summons,824
2014,December,Moorabool,Not authorised,179
2014,December,Moorabool,Other,148
2014,December,Moorabool,Unsolved,770
2014,December,Mornington Peninsula,Arrest/Summons,"4,899"
2014,December,Mornington Peninsula,Not authorised,822
2014,December,Mornington Peninsula,Other,"1,311"
2014,December,Mornington Peninsula,Unsolved,"3,409"
2014,December,Mount Alexander,Arrest/Summons,583
2014,December,Mount Alexander,Not authorised,45
2014,December,Mount Alexander,Other,107
2014,December,Mount Alexander,Unsolved,277
2014,December,Moyne,Arrest/Summons,302
2014,December,Moyne,Not authorised,56
2014,December,Moyne,Other,70
2014,December,Moyne,Unsolved,218
2014,December,Murrindindi,Arrest/Summons,331
2014,December,Murrindindi,Not authorised,59
2014,December,Murrindindi,Other,96
2014,December,Murrindindi,Unsolved,185
2014,December,Nillumbik,Arrest/Summons,820
2014,December,Nillumbik,Not authorised,187
2014,December,Nillumbik,Other,127
2014,December,Nillumbik,Unsolved,917
2014,December,Northern Grampians,Arrest/Summons,473
2014,December,Northern Grampians,Not authorised,112
2014,December,Northern Grampians,Other,141
2014,December,Northern Grampians,Unsolved,210
2014,December,Port Phillip,Arrest/Summons,"4,672"
2014,December,Port Phillip,Not authorised,741
2014,December,Port Phillip,Other,"1,292"
2014,December,Port Phillip,Unsolved,"5,158"
2014,December,Pyrenees,Arrest/Summons,196
2014,December,Pyrenees,Not authorised,33
2014,December,Pyrenees,Other,21
2014,December,Pyrenees,Unsolved,201
2014,December,Queenscliffe,Arrest/Summons,43
2014,December,Queenscliffe,Not authorised,3
2014,December,Queenscliffe,Other,11
2014,December,Queenscliffe,Unsolved,69
2014,December,South Gippsland,Arrest/Summons,649
2014,December,South Gippsland,Not authorised,94
2014,December,South Gippsland,Other,100
2014,December,South Gippsland,Unsolved,358
2014,December,Southern Grampians,Arrest/Summons,513
2014,December,Southern Grampians,Not authorised,74
2014,December,Southern Grampians,Other,144
2014,December,Southern Grampians,Unsolved,222
2014,December,Stonnington,Arrest/Summons,"3,922"
2014,December,Stonnington,Not authorised,416
2014,December,Stonnington,Other,993
2014,December,Stonnington,Unsolved,"4,279"
2014,December,Strathbogie,Arrest/Summons,236
2014,December,Strathbogie,Not authorised,61
