Year,LGAID,Offence Count,"Rate per 100,000 population"
2021,51,286,4664.1
2021,52,3285,8520.1
2021,53,1084,8096.8
2021,54,1551,6952.4
2021,55,868,5414.8
2021,56,793,7470.6
2021,57,1756,8754.6
2021,58,604,2426.5
2021,59,10464,8628.5
2021,60,19999,7381.6
2021,61,555,3366.7
2021,62,452,7991.5
2021,63,2424,11896.3
2021,64,539,6997.3
2021,65,2023,3920.6
2021,66,6594,11575.3
2021,67,2120,5592.2
2021,68,924,4593.8
2021,69,706,4081.9
2021,70,1094,9204.1
2021,71,456,5985.0
2021,72,87,2688.5
2021,73,1035,6275.8
2021,74,1364,3623.0
2021,75,2483,11613.1
2021,76,3127,8825.1
2021,77,216,5429.9
2021,78,375,5760.4
2021,79,2208,
2021,80,87,
2020,0,9456,7257.4
2020,1,20216,9899.5
2020,2,15737,10020.0
2020,3,5825,6119.1
2020,4,21992,9026.3
2020,5,9156,10239.5
2020,6,36502,21397.6
2020,7,14353,8269.5
2020,8,13768,7647.6
2020,9,8403,6627.7
2020,10,2286,3554.0
2020,11,16792,7268.0
2020,12,18263,6356.9
2020,13,14202,14692.4
2020,14,582,4458.4
2020,15,2893,7427.5
2020,16,5083,9117.0
2020,17,1409,9797.0
2020,18,8012,4504.3
2020,19,5147,10751.1
2020,20,9160,13377.3
2020,21,575,3359.6
2020,22,11986,7342.5
2020,23,13628,17764.7
2020,24,4837,3779.3
2020,25,512,5228.8
2020,26,8010,6771.2
2020,27,5335,11097.7
2020,28,2270,7492.2
2020,29,12826,6387.7
2020,30,895,6018.0
2020,31,1743,5757.8
2020,32,617,5529.7
2020,33,219,3549.4
2020,34,3083,10444.8
2020,35,4843,10737.2
2020,36,9346,5286.4
2020,37,3568,8362.6
2020,38,8759,5513.1
2020,39,5586,5319.1
2020,40,7602,6525.0
2020,41,23188,6370.9
2020,42,14784,10397.3
2020,43,7867,5086.8
2020,44,19351,11682.0
2020,45,11631,7127.0
2020,46,11331,6658.0
2020,47,13574,12275.9
2020,48,11589,10291.3
2020,49,1564,13123.0
2020,50,9764,8745.6
2020,51,498,8089.7
2020,52,3785,9862.2
2020,53,1163,8741.7
2020,54,1810,8126.1
2020,55,867,5382.4
2020,56,961,9087.5
2020,57,1679,8372.0
2020,58,588,2413.2
2020,59,11062,9221.6
2020,60,22961,8630.8
2020,61,713,4363.8
2020,62,590,10409.3
2020,63,2479,12160.9
2020,64,532,6947.9
2020,65,2734,5371.9
2020,66,6572,11462.5
2020,67,2690,7281.3
2020,68,952,4774.6
2020,69,672,3931.9
2020,70,1192,10097.4
2020,71,515,6826.6
2020,72,122,3941.8
2020,73,1160,7027.7
2020,74,1514,4225.9
2020,75,2491,11586.6
2020,76,3335,9416.1
2020,77,169,4231.3
2020,78,505,7604.3
2020,79,3016,
2020,80,56,
2019,0,9514,7284.4
2019,1,19791,9571.5
2019,2,14523,9232.8
2019,3,6225,6496.7
2019,4,21416,9098.9
2019,5,8901,9949.7
2019,6,36346,21512.6
2019,7,12612,7618.9
2019,8,14368,8012.2
2019,9,8280,6550.3
2019,10,2233,3463.9
2019,11,16472,7286.2
2019,12,16755,6132.8
2019,13,13504,13987.4
2019,14,570,4417.2
2019,15,2498,6672.0
2019,16,4761,8809.0
2019,17,1309,9194.4
2019,18,8139,4530.1
2019,19,4895,10313.1
2019,20,8836,13045.3
2019,21,598,3543.5
2019,22,11923,7300.9
2019,23,14004,18397.0
2019,24,5138,4049.7
2019,25,472,5012.2
2019,26,8163,6919.8
2019,27,4819,10391.8
2019,28,2541,8442.1
2019,29,11689,5851.5
2019,30,809,5489.6
2019,31,1729,5778.2
2019,32,629,5766.9
2019,33,214,3484.2
2019,34,2521,8563.5
2019,35,4589,10271.7
2019,36,9222,5243.9
2019,37,3745,8898.9
2019,38,9178,5781.6
2019,39,5098,4849.3
2019,40,6638,5926.7
2019,41,22532,6401.0
2019,42,14921,10510.0
2019,43,7388,4799.4
2019,44,18916,11374.9
2019,45,12107,7419.5
2019,46,11211,6649.7
2019,47,12549,11226.3
2019,48,11752,10326.9
2019,49,1262,10660.6
2019,50,11742,10696.6
2019,51,300,4865.4
2019,52,3962,10391.3
2019,53,1411,10570.1
2019,54,1649,7482.9
2019,55,646,3994.8
2019,56,829,7848.9
2019,57,1674,8373.3
2019,58,650,2729.9
2019,59,11453,9688.4
2019,60,21705,8343.8
2019,61,870,5402.0
2019,62,330,5822.2
2019,63,1951,9658.4
2019,64,476,6239.3
2019,65,2444,4872.2
2019,66,7425,13080.5
2019,67,2127,5942.5
2019,68,1224,6214.5
2019,69,683,4018.4
2019,70,1104,9430.3
2019,71,654,8779.7
2019,72,116,3901.8
2019,73,1215,7418.5
2019,74,1245,3639.0
2019,75,2625,12262.3
2019,76,3452,9833.6
2019,77,168,4222.2
2019,78,477,7146.1
2019,79,2760,
2019,80,156,
2018,0,9403,7252.9
2018,1,19051,9204.4
2018,2,15236,9698.1
2018,3,6236,6553.9
2018,4,20702,9179.4
2018,5,8434,9490.2
2018,6,36171,22141.5
2018,7,10680,6801.7
2018,8,14556,8192.3
2018,9,8613,6863.7
2018,10,2107,3264.5
2018,11,15615,7078.4
